period,series,value
1990,CHN,1666.8141
1991,CHN,1798.3826
1992,CHN,2030.4713
1993,CHN,2286.7957
1994,CHN,2556.907
1995,CHN,2807.8865
1996,CHN,3055.7283
1997,CHN,3305.8303
1998,CHN,3533.6985
1999,CHN,3774.4275
2000,CHN,4065.8672
2001,CHN,4372.4355
2002,CHN,4744.382
2003,CHN,5191.7812
2004,CHN,5684.388
2005,CHN,6298.2993
2006,CHN,7057.1113
2007,CHN,8013.7837
2008,CHN,8743.702
2009,CHN,9518.682
2010,CHN,10476.152
2011,CHN,11404.918
2012,CHN,12217.935
2013,CHN,13080.879
2014,CHN,13968.519
2015,CHN,14857.108
2016,CHN,15772.837
2017,CHN,16758.047
2018,CHN,17807.049
2019,CHN,18820.588
2020,CHN,19215.102
2021,CHN,20843.297
2022,CHN,21499.312
2023,CHN,22687.252
2024,CHN,23841.477
2025,CHN,25066.521
1990,DEU,42355.285
1991,DEU,44195.715
1992,DEU,44744.14
1993,DEU,44018.438
1994,DEU,45005.16
1995,DEU,45548.418
1996,DEU,45888.13
1997,DEU,46670.707
1998,DEU,47641.527
1999,DEU,48624.65
2000,DEU,49955.645
2001,DEU,50687.65
2002,DEU,50487
2003,DEU,50191.723
2004,DEU,50786.02
2005,DEU,51264.82
2006,DEU,53307.164
2007,DEU,54920.66
2008,DEU,55513.758
2009,DEU,52568.797
2010,DEU,54826.254
2011,DEU,57950.957
2012,DEU,58110.375
2013,DEU,58182.08
2014,DEU,59203.234
2015,DEU,59668.99
2016,DEU,60504.586
2017,DEU,61965.434
2018,DEU,62481.117
2019,DEU,62949.895
2020,DEU,60299.58
2021,DEU,62630.773
2022,DEU,63777.93
2023,DEU,63140.195
2024,DEU,62654.6
2025,DEU,62823.773
1990,ESP,31773.227
1991,ESP,32499.348
1992,ESP,32641.082
1993,ESP,32137.314
1994,ESP,32746.93
1995,ESP,33501.73
1996,ESP,34232.38
1997,ESP,35312.086
1998,ESP,36679.094
1999,ESP,38141.316
2000,ESP,39945.9
2001,ESP,41224.293
2002,ESP,41766.04
2003,ESP,42223.13
2004,ESP,42793.39
2005,ESP,43570.766
2006,ESP,44572.68
2007,ESP,45301.285
2008,ESP,44926.348
2009,ESP,42852.223
2010,ESP,42695.527
2011,ESP,42271.836
2012,ESP,41034.047
2013,ESP,40594.914
2014,ESP,41339.41
2015,ESP,43053.76
2016,ESP,44274.668
2017,ESP,45446.25
2018,ESP,46325.21
2019,ESP,46896.418
2020,ESP,41553.45
2021,ESP,44251.664
2022,ESP,46733.48
2023,ESP,47322.594
2024,ESP,48460.293
2025,ESP,49318.105
1990,FRA,38655.887
1991,FRA,38937.953
1992,FRA,39331.902
1993,FRA,39020.613
1994,FRA,39801.39
1995,FRA,40570.72
